record_id,pmid,doi,first_author,year,journal,disease,comparison,comparison_class,biofluid,marker_type,marker,cohort_stage,n_cases,n_controls,auc,auc_ci_low,auc_ci_high,sensitivity,specificity,method,eligible_primary_pool,exclusion_reason,note,verbatim_quote,source
E011,42010706,10.1186/s13195-026-02048-x,Chen Z,2026,Alzheimer's research & therapy,AD,AD vs healthy controls,case_vs_healthy_control,serum,single_miRNA,miR-211-5p,cross-validated,,,0.621,,,,,microarray (biobank re-analysis),no,"cross-validated model output on a re-analysed biobank cohort, not an independent ROC on a defined case-control pair",,The univariate ranking indicates that hsa-miR-211-5p had a five-fold cross-validated AUC of approximately 0.621 (rank 73),PubMed Central open-access full text
E012,37071449,10.1002/alz.13055,Kumar A,2023,Alzheimer's & dementia : the journal of the Alzheimer's Association,AD,AD vs cognitively normal,case_vs_healthy_control,plasma_sEV,single_miRNA,miR-9-5p,single,,,1.0,,,,,RT-qPCR,no,perfect separation (AUC=1.000) in a very small subgroup (6 MCI-AD of 39 participants); unstable estimate,,"Of interest, miR-9-5p expression in sEV strongly predicted overall cognitive impairment (AUC = 0.935), MCI (AUC = 0.931), and AD (AUC = 1.000) (-).",PubMed Central open-access full text
E013,37071449,10.1002/alz.13055,Kumar A,2023,Alzheimer's & dementia : the journal of the Alzheimer's Association,AD,overall cognitive impairment vs cognitively normal,case_vs_healthy_control,plasma_sEV,single_miRNA,miR-125b-5p,single,,,0.753,,,,,RT-qPCR,no,"outcome is pooled cognitive impairment, not AD diagnosis; n per group not stated in sentence",,"The expression of miR-125b-5p in sEV displayed AUC = 0.753 in predicting the overall impairment (), although none of the miRNAs could be noted in predicting MCI ().",PubMed Central open-access full text
E014,32585840,10.3390/biom10060945,Oliveira SR,2020,Biomolecules,PD,idiopathic PD vs healthy controls,case_vs_healthy_control,serum,single_miRNA,miR-146a-5p,discovery,20,20,0.74,,,,,RT-qPCR,yes,,,"As observed in, miR-146a, miR-335-3p, and miR-335-5p showed good sensitivity and specificity to differentiate between iPD and healthy controls (AUC = 0.74, AUC = 0.74, and AUC = 0.71, respectively).",PubMed Central open-access full text
E015,32585840,10.3390/biom10060945,Oliveira SR,2020,Biomolecules,PD,idiopathic PD vs healthy controls,case_vs_healthy_control,serum,single_miRNA,miR-335-3p,discovery,20,20,0.74,,,,,RT-qPCR,yes,,,"As observed in, miR-146a, miR-335-3p, and miR-335-5p showed good sensitivity and specificity to differentiate between iPD and healthy controls (AUC = 0.74, AUC = 0.74, and AUC = 0.71, respectively).",PubMed Central open-access full text
E016,32585840,10.3390/biom10060945,Oliveira SR,2020,Biomolecules,PD,idiopathic PD vs healthy controls,case_vs_healthy_control,serum,single_miRNA,miR-335-5p,discovery,20,20,0.71,,,,,RT-qPCR,yes,,,"As observed in, miR-146a, miR-335-3p, and miR-335-5p showed good sensitivity and specificity to differentiate between iPD and healthy controls (AUC = 0.74, AUC = 0.74, and AUC = 0.71, respectively).",PubMed Central open-access full text
E017,32585840,10.3390/biom10060945,Oliveira SR,2020,Biomolecules,PD,idiopathic PD vs healthy controls,case_vs_healthy_control,serum,single_miRNA,miR-146a-5p,validation,17,14,0.62,,,,,RT-qPCR,yes,,Validation cohort was 20 iPD and 20 controls before exclusion of 3 iPD and 6 controls for haemolysis.,"Moreover, ROC curves showed that miR-146a, miR-335-3p, and miR-335-5p have moderate ability to discriminate between iPD patients and controls in this cohort (AUC = 0.62, AUC = 0.67, and AUC = 0.59, respectively), while miR-155 has great sensitivity and specificity to discriminate between the two groups, with an AUC = 0.85 ().",PubMed Central open-access full text
E018,32585840,10.3390/biom10060945,Oliveira SR,2020,Biomolecules,PD,idiopathic PD vs healthy controls,case_vs_healthy_control,serum,single_miRNA,miR-335-3p,validation,17,14,0.67,,,,,RT-qPCR,yes,,,"Moreover, ROC curves showed that miR-146a, miR-335-3p, and miR-335-5p have moderate ability to discriminate between iPD patients and controls in this cohort (AUC = 0.62, AUC = 0.67, and AUC = 0.59, respectively)",PubMed Central open-access full text
E019,32585840,10.3390/biom10060945,Oliveira SR,2020,Biomolecules,PD,idiopathic PD vs healthy controls,case_vs_healthy_control,serum,single_miRNA,miR-335-5p,validation,17,14,0.59,,,,,RT-qPCR,yes,,,"Moreover, ROC curves showed that miR-146a, miR-335-3p, and miR-335-5p have moderate ability to discriminate between iPD patients and controls in this cohort (AUC = 0.62, AUC = 0.67, and AUC = 0.59, respectively)",PubMed Central open-access full text
E020,35655754,10.3389/fnins.2022.865139,Wu L,2022,Frontiers in neuroscience,PD,PD vs normal controls,case_vs_healthy_control,plasma,single_miRNA,miR-153,single,75,73,0.631,,,0.548,0.747,RT-qPCR,yes,,,"MiR-153 distinguished patients with PD from NCs with 54.8% sensitivity and 74.7% specificity (AUC = 0.631, cut-off value 0.85;), whereas, miR-223 distinguished patients with PD from NCs with 68.5% sensitivity and 88.0% specificity (AUC = 0.862, cut-off value 0.63;).",PubMed Central open-access full text
E021,35655754,10.3389/fnins.2022.865139,Wu L,2022,Frontiers in neuroscience,PD,PD vs normal controls,case_vs_healthy_control,plasma,single_miRNA,miR-223,single,75,73,0.862,,,0.685,0.88,RT-qPCR,yes,,,"MiR-153 distinguished patients with PD from NCs with 54.8% sensitivity and 74.7% specificity (AUC = 0.631, cut-off value 0.85;), whereas, miR-223 distinguished patients with PD from NCs with 68.5% sensitivity and 88.0% specificity (AUC = 0.862, cut-off value 0.63;).",PubMed Central open-access full text
E022,38033547,10.3389/fnins.2023.1174951,Rai S,2023,Frontiers in neuroscience,PD,idiopathic PD vs age-matched controls,case_vs_healthy_control,plasma,single_miRNA,miR-23b-3p,single,,,0.8086,,,0.9375,0.6875,RT-qPCR,yes,,Group sizes not stated in the sentence carrying the ROC result.,"the comparison with age-matched controls gave better AUC values both in plasma (AUC = 0.8086, 93.75% sensitivity, 68.75% specificity)",PubMed Central open-access full text
E023,41373032,10.1186/s13104-025-07604-6,Omura T,2025,BMC research notes,PD,PD vs healthy controls,case_vs_healthy_control,plasma,single_miRNA,miR-101,single,,,0.781,0.547,1.0,,,RT-qPCR,yes,,,"Using the Youden Index, the optimal cutoff for miR-101 expression was identified as 0.737 relative to the mean healthy value, and the AUC was 0.781 (95% CI = 0.547-1.00)",PubMed Central open-access full text
E024,33416118,10.3892/ijmm.2020.4806,Grossi I,2020,International journal of molecular medicine,PD,PD vs controls,case_vs_healthy_control,plasma,single_miRNA,miR-34a-5p,single,,,0.738,0.557,0.919,,,RT-qPCR,yes,,,The calculated Area under ROC curve (AUC) of 0.738 (95% CI=0.557-0.919;,PubMed Central open-access full text
E025,32649312,10.18632/aging.103458,Han L,2020,Aging,PD,PD with cognitive impairment vs PD normal cognition,within_disease,serum,single_miRNA,miR-29b,single,98,40,0.726,0.6268,0.8243,,,RT-qPCR,no,"within-disease contrast (cognitive status inside PD), not PD vs healthy control",,"For discriminating between PD-CI and PD-NC, the AUC of miR-29b was moderate, with an average AUC of 0.726 (95% CI=0.6268 to 0.8243) ().",PubMed Central open-access full text
E026,35962561,10.1002/mds.29171,Soto M,2022,Movement disorders : official journal of the Movement Disorder Society,PD,isolated RBD / Lewy body disease vs controls,prodromal_vs_control,serum,single_miRNA,miR-29c-3p,single,,,0.85,,,,,small RNA-seq,no,"prodromal/isolated RBD population, not clinically established PD",,"the topmost discriminant individual miRNAs distinguishing IRBD or LBD were miR-29c-3p, miR-1227-5p, and miR-24-3p, with AUCs of 0.85, 0.76, and 0.76, respectively.",PubMed Central open-access full text
E027,35962561,10.1002/mds.29171,Soto M,2022,Movement disorders : official journal of the Movement Disorder Society,PD,isolated RBD / Lewy body disease vs controls,prodromal_vs_control,serum,single_miRNA,miR-1227-5p,single,,,0.76,,,,,small RNA-seq,no,"prodromal/isolated RBD population, not clinically established PD",,"the topmost discriminant individual miRNAs distinguishing IRBD or LBD were miR-29c-3p, miR-1227-5p, and miR-24-3p, with AUCs of 0.85, 0.76, and 0.76, respectively.",PubMed Central open-access full text
E028,35962561,10.1002/mds.29171,Soto M,2022,Movement disorders : official journal of the Movement Disorder Society,PD,isolated RBD / Lewy body disease vs controls,prodromal_vs_control,serum,single_miRNA,miR-24-3p,single,,,0.76,,,,,small RNA-seq,no,"prodromal/isolated RBD population, not clinically established PD",,"the topmost discriminant individual miRNAs distinguishing IRBD or LBD were miR-29c-3p, miR-1227-5p, and miR-24-3p, with AUCs of 0.85, 0.76, and 0.76, respectively.",PubMed Central open-access full text
E029,38848197,10.3233/JPD-230408,Braunger LJ,2024,Journal of Parkinson's disease,PD,LRRK2-related PD signature,differential_diagnosis,extracellular_miRNA,single_miRNA,miR-29c-3p,single,,,0.86,,,0.9,0.9,RT-qPCR,no,"LRRK2-R1441G carrier stratification, not sporadic PD vs healthy control",,ROC analysis of miR-29c-3p revealed a sensitivity of 90% and specificity of 90% with an AUC of 0.86 (95% CI:,PubMed Central open-access full text
E030,41836608,10.1038/s44328-026-00086-x,Yang SJ,2026,Npj biosensing,AD,AD vs controls (neuron-derived EV),case_vs_healthy_control,plasma_neuronal_EV,single_miRNA,miR-132-3p,single,31,27,0.76,,,,,small RNA-seq,yes,,Duplicate report of the same cohort also indexed as PMID 40661348 (preprint version); counted once.,"ROC analysis of these biomarkers yielded four biomarkers (GluR2+ EV miR-132-3p alongside proteins p-Tau181, Abeta42, and Abeta42/Abeta40) with statistically significant AUCs per Delong's test ... with miR-132-3p having the highest AUC of the group at 0.76",PubMed Central open-access full text
E031,42389429,10.1515/jtim-2026-0038,Qin Q,2026,Journal of translational internal medicine,AD,AD vs healthy controls,case_vs_healthy_control,serum,multi_miRNA_panel,7-miRNA panel,training,73,53,0.97,,,,,RT-qPCR,yes,,,"The 7-miRNA panel demonstrated high diagnostic accuracy between AD patients and HCs, achieving an AUC of 0.970 in the training cohort and 0.928 in the validation cohort.",PubMed Central open-access full text
E032,42389429,10.1515/jtim-2026-0038,Qin Q,2026,Journal of translational internal medicine,AD,AD vs healthy controls,case_vs_healthy_control,serum,multi_miRNA_panel,7-miRNA panel,validation,99,99,0.928,0.892,0.965,,,RT-qPCR,yes,,,The 7-miRNA panel's risk score achieved a high AUC of 0.928 (95% CI = 0.892-0.965) in differentiating AD and HC groups.,PubMed Central open-access full text
E033,32962113,10.3390/jcm9093016,Karaglani M,2020,Journal of clinical medicine,AD,AD vs cognitively healthy individuals,case_vs_healthy_control,blood,multi_miRNA_panel,3-miRNA biosignature,single,48,22,0.975,0.908,1.0,,,miRNA transcriptomics (AutoML),yes,,,"AutoML analysis of the 506-feature miRNA-transcriptomic data from 48 AD patients and 22 cognitively healthy individuals led to one miRNA-based predictive biosignature via a Support Vector Machines model with three miRNA predictors with high AUC (0.975 (0.908, 1.000)).",PubMed Central open-access full text
E034,31591382,10.1038/s41398-019-0579-2,Jain G,2019,Translational psychiatry,AD,AD dementia vs controls without neurodegenerative disorder,case_vs_healthy_control,blood,multi_miRNA_panel,3 miRNA + 3 piRNA signature,discovery,23,38,0.83,,,,,small RNA-seq,yes,,,The miRNA/piRNA signature was able to distinguish AD dementia patients from controls with an AUC of 0.83 that was similar to that of pTau and Abeta42/40 ratio (Fig.).,PubMed Central open-access full text
E035,31809862,10.1016/j.gpb.2019.09.004,Ludwig N,2019,"Genomics, proteomics & bioinformatics",AD,AD vs unaffected controls,case_vs_healthy_control,blood,multi_miRNA_panel,ML model on circulating ncRNAs,single,,,0.876,,,,,RT-qPCR + machine learning,yes,,465 participants analysed by RT-qPCR in total; per-arm sizes for this specific ROC not stated in the sentence.,"The quality of the results is indicated by an AUC of 87.6% for the comparison between AD and unaffected controls, and an AUC of 83.5% for a comparison between AD and a combined group of unaffected controls, MCI patients and patients with OND.",PubMed Central open-access full text
E036,27814298,10.3233/JAD-160835,Lusardi TA,2017,Journal of Alzheimer's disease : JAD,AD,AD vs controls,case_vs_healthy_control,CSF,multi_miRNA_panel,3-miRNA combination,single,50,49,0.8,,,,,TaqMan qPCR array,yes,,,"ApoE alone has an AUC of 0.73 in this group of subjects, and 3 miRNAs had an AUC of 0.80.",PubMed Central open-access full text
E037,32955460,10.3233/JAD-200396,Sandau US,2020,Journal of Alzheimer's disease : JAD,AD,AD vs normal cognition,case_vs_healthy_control,plasma,multi_miRNA_panel,5 trending miRNAs,single,37,65,0.77,,,,,RT-qPCR,yes,,,"The trending miRNAs achieved an AUC of 0.705 for predicting MCI and 0.770 for predicting AD, compared to NC (and).",PubMed Central open-access full text
E038,33542630,10.2147/NDT.S290925,Zhang M,2021,Neuropsychiatric disease and treatment,AD,AD vs controls,case_vs_healthy_control,serum,multi_miRNA_panel,miR-128 + clinical variables,single,117,,0.906,,,0.939,0.875,RT-qPCR,no,composite model combining miRNA with non-miRNA clinical variables,,"The area under the curve of the combined detection of these variables was 0.906, the sensitivity was 93.9%, and the specificity was 87.5%, as shown in.",PubMed Central open-access full text
E039,29707120,10.18632/oncotarget.24736,Dos Santos MCT,2018,Oncotarget,PD,early-stage PD vs controls,case_vs_healthy_control,CSF,multi_miRNA_panel,miRNA panel (Model A),single,40,40,0.82,,,0.9,0.8,RT-qPCR + machine learning,yes,,,"we identified a panel of miRNAs with 90% diagnostic sensitivity, 80% diagnostic specificity and 82% ROC-AUC (Receiver Operating Characteristic-Area under the curve).",PubMed Central open-access full text
E040,27844283,10.1007/s12035-016-0253-0,Marques TM,2016,Molecular neurobiology,PD,PD vs controls,case_vs_healthy_control,CSF,multi_miRNA_panel,miRNA combination,single,,,0.96,,,0.96,0.92,RT-qPCR,yes,,Group sizes not stated in the sentence carrying the ROC result.,"The AUC from the ROC analysis increased to 0.96 (value <0.0001, sensitivity of 96% and specificity of 92%, cutoff >-0.44, positive likelihood ratio = 13.5), suggesting that the combination of these miRNAs could improve diagnostic accuracy.",PubMed Central open-access full text
E041,38200052,10.1038/s41531-023-00628-4,Li Y,2024,NPJ Parkinson's disease,PD,PD vs healthy individuals,case_vs_healthy_control,plasma_EV,multi_miRNA_panel,EV-miRNA SVM classifier,training,32,35,0.917,0.913,0.92,,,small RNA-seq + SVM,yes,,,"The classifier could also identify patients with PD from healthy individuals in both the training (AUC = 0.917; 95% CI, 0.913-0.92) and validation (AUC = 0.916;",PubMed Central open-access full text
E042,35962561,10.1002/mds.29171,Soto M,2022,Movement disorders : official journal of the Movement Disorder Society,PD,IRBD/PD/DLB vs controls,prodromal_vs_control,serum,multi_miRNA_panel,12-miRNA biosignature,single,,,0.98,,,,,small RNA-seq,no,mixed prodromal and established Lewy body disease population,,"The identified miRNA biosignature exhibited high diagnostic accuracy for discriminating patients with IRBD and PD or DLB from controls, achieving an AUC of 98%.",PubMed Central open-access full text
E043,34042273,10.1002/kjm2.12391,Dong LH,2021,The Kaohsiung journal of medical sciences,AD,AD vs healthy controls,case_vs_healthy_control,serum,single_miRNA,miR-202,single,121,86,0.892,,,,,RT-qPCR,yes,,Added from the Scopus search arm; not retrieved by the PubMed query.,"Receiver operating characteristic (ROC) curve analysis demonstrated that serum miR-202 could differentiate AD patients from healthy controls, with an AUC of 0.892.",PubMed abstract (PMC11896508 full text available)
E044,34749366,10.1159/000519780,Zhang M,2021,Neuroimmunomodulation,AD,AD vs controls,case_vs_healthy_control,serum,single_miRNA,miR-381-3p,single,,,0.898,,,0.875,0.777,RT-qPCR,yes,,"Added from Scopus. Group sizes are not stated in the abstract and the full text is not open access, so no standard error can be computed and the estimate cannot be weighted.","The ROC curve demonstrated the distinct ability of serum miR-381-3p for AD, with the AUC value of 0.898, with a sensitivity of 87.5%, and a specificity of 77.7%.",PubMed abstract (no open-access full text)
E045,,10.1515/tjb-2025-0113,(Turk J Biochem),2026,Turkish Journal of Biochemistry,AD,AD vs controls,case_vs_healthy_control,serum,single_miRNA,miR-384-5p,single,,,0.877,,,0.780,0.802,RT-qPCR,yes,,"Added from Scopus; not indexed in PubMed at the search date. Group sizes not stated in the abstract, so the estimate cannot be weighted.","ROC analysis revealed strong diagnostic efficacy with an AUC of 0.877 at the optimal cutoff value of 0.582, demonstrating 78.0% sensitivity and 80.2% specificity.",Scopus record (abstract)
E046,33979697,10.1016/j.neulet.2021.135953,Zhang H,2021,Neuroscience letters,AD,AD vs healthy controls,case_vs_healthy_control,serum,single_miRNA,miR-148a-3p,single,,,,,,0.855,0.870,RT-qPCR,no,"no AUC reported and no group sizes, so neither an AUC nor a standard error can be derived",Added from Scopus. Sensitivity and specificity are recorded for completeness.,"Serum miR-148a-3p had the potential to distinguish AD patients from healthy controls, and the diagnostic sensitivity and specificity were respectively 85.5 % and 87.0 % at a cutoff value of 0.827.",PubMed abstract (no open-access full text)
E047,,10.1111/apm.70148,(APMIS),2026,APMIS,AD,AD vs mild cognitive impairment,differential_diagnosis,serum,single_miRNA,miR-769-5p,single,,,0.919,,,,,RT-qPCR,no,"comparator is MCI, not a healthy or cognitively normal control group",Added from Scopus; not indexed in PubMed at the search date.,miR-769-5p was downregulated in AD versus MCI and accurately distinguished them (AUC = 0.919).,Scopus record (abstract)
E048,30056425,10.3233/JAD-180364,Piscopo P,2018,Journal of Alzheimer's disease : JAD,AD,"frontotemporal dementia vs AD, and FTD vs healthy controls",differential_diagnosis,plasma,single_miRNA,miR-127-3p,single,54,53,0.8057,,,,,RT-qPCR,no,"index condition is frontotemporal dementia; the AD group (n=20) serves as a comparator, not as the diagnosed population",Added from Scopus. The reported AUC of 0.8057 is FTD versus healthy controls; FTD versus AD was 0.8986.,"A receiver operating characteristic curve was then created for miR-127-3p to discriminate FTD versus AD (AUC: 0.8986), and versus healthy controls (AUC: 0.8057).",PubMed abstract (no open-access full text)
E049,25742200,10.4088/JCP.13m08812,Wang T,2015,The Journal of clinical psychiatry,AD,amnestic mild cognitive impairment vs healthy controls,prodromal_vs_control,plasma,single_miRNA,miR-107,single,116,81,,,,0.983,0.827,RT-qPCR,no,"population is amnestic MCI, not diagnosed AD; classification accuracy reported instead of an AUC",Added from Scopus. Overall classification accuracy was 91.9%.,"The overall classification accuracy of miRNA107 to discriminate between patients with amnestic mild cognitive impairment and healthy controls was 91.9%, with sensitivity of 98.3% and specificity of 82.7%.",PubMed abstract (no open-access full text)
E050,28179587,10.18632/oncotarget.15109,Nagaraj S,2017,Oncotarget,AD,early-stage AD (MCI-AD) vs non-demented controls,prodromal_vs_control,plasma,multi_miRNA_panel,6-miRNA plasma profile,validation,15,15,,,,,,RT-qPCR,no,reports ranges of sensitivity and specificity across six markers rather than a single panel AUC; population is MCI-AD,"Added from Scopus. Specificities 0.78-1 and sensitivities 0.75-1 across the six miRNAs; 15 MCI-AD, 20 AD, 15 controls.","6 miRNAs ... were selected as the most promising biomarker candidates differentiating early AD from controls with the highest fold changes (from 1.32 to 14.72), consistent significance, specificities from 0.78 to 1 and sensitivities from 0.75 to 1.",PubMed abstract (PMC5369952 full text available)
E051,38172670,10.1186/s11658-023-00516-y,Liang J,2024,Cellular and Molecular Biology Letters,PD,Parkinson's disease vs healthy controls,case_vs_healthy_control,serum,single_miRNA,miR-675-5p,single,104,106,0.5896,0.5115,0.6678,0.9327,0.3271,RT-qPCR,yes,,"Added from the Scopus PD arm; full text read in PubMed Central. Published 95% CI, so the standard error is taken from the interval rather than reconstructed. One of the lowest single-miRNA AUCs in the whole table, from one of the largest cohorts.","Receiver-operating characteristic (ROC) analysis suggested that miR-675-5p levels distinguish PD patients from controls with an area below the curve of 58.96% (95% confidence interval [CI] 51.15–66.78). When the cutoff value was 18.38, it showed 93.27% Sensitivity and 32.71% Specificity",PubMed Central open-access full text
E052,38172670,10.1186/s11658-023-00516-y,Liang J,2024,Cellular and Molecular Biology Letters,PD,Parkinson's disease vs healthy controls,case_vs_healthy_control,serum,single_miRNA,miR-1247-5p,single,104,106,0.6201,0.5443,0.6959,0.4712,0.7642,RT-qPCR,yes,,"Added from the Scopus PD arm; full text read in PubMed Central. Published 95% CI. Same cohort as E051, so the two estimates are correlated.","the serum miR-1247-5p cutoff value of 0.09451 had a modest 47.12% Sensitivity and 76.42% Specificity for distinguishing between patients with PD and controls, with an area under the curve of 62.01% (95% confidence interval [CI] 54.43—69.59",PubMed Central open-access full text
E053,38172670,10.1186/s11658-023-00516-y,Liang J,2024,Cellular and Molecular Biology Letters,PD,Parkinson's disease vs healthy controls,case_vs_healthy_control,serum,multi_miRNA_panel,"10-biomarker classifier (miR-675-5p, miR-1247-5p, circSLC8A1, lncH19 + 6 pyroptosis proteins)",single,14,11,0.92,0.86,0.99,,,RT-qPCR + ELISA + random forest,no,"composite model combining miRNAs with a circRNA, a lncRNA and six proteins, not a miRNA-only panel",Added from the Scopus PD arm. Headline figure of the paper. Trained on 56 PD and 43 healthy cases; the quoted accuracy is on 14 PD and 11 healthy cases. circSLC8A1 (AUC 72.67%) and lncH19 (AUC 60.11%) are not miRNAs and are not extracted as rows.,"Of all obtained classifiers from the random forest, the resulting predictive classifier with the optimal accuracy (AUC: 92%, 95% confidence interval [CI] 86–99) has covered ten biomarkers (14 PD and 11 healthy cases",PubMed Central open-access full text
E054,37483339,10.3389/fnins.2023.1145923,Aguilar MA,2023,Frontiers in Neuroscience,PD,Parkinson's disease vs age- and sex-matched controls,case_vs_healthy_control,serum_neuronal_EV,single_miRNA,miR-6073,single,60,40,0.781,,,,,small RNA-seq + univariate logistic regression,yes,,"Added from the Scopus PD arm. Univariate logistic-regression AUC from Table 4; 60 PD vs 40 controls, neuronally enriched (CD171+) serum exosomes and microvesicles. Eight single-miRNA estimates come from this one cohort, so they are correlated and are not eight independent studies. The authors themselves caution: ""Due to a lack of a validation set, our logistic regression and random forest models should be considered exploratory to find biological insights instead of a clinically applicable prediction model."" Reported in the table as ""hsa-miR-6,073"" (thousands separator is a typesetting artefact).","Table 4, ""Logistic regression AUC of 29 smRNAs"": hsa-miR-6,073 — 0.781. Caption: ""Area under the curve (AUC) values were used to gauge the ability of the univariate LR models to discriminate between PD and control subjects using the 29 smRNA panel.""",PubMed Central open-access full text
E055,37483339,10.3389/fnins.2023.1145923,Aguilar MA,2023,Frontiers in Neuroscience,PD,Parkinson's disease vs age- and sex-matched controls,case_vs_healthy_control,serum_neuronal_EV,single_miRNA,miR-21-5p,single,60,40,0.743,,,,,small RNA-seq + univariate logistic regression,yes,,"Added from the Scopus PD arm. Univariate logistic-regression AUC from Table 4; 60 PD vs 40 controls, neuronally enriched (CD171+) serum exosomes and microvesicles. Eight single-miRNA estimates come from this one cohort, so they are correlated and are not eight independent studies. The authors themselves caution: ""Due to a lack of a validation set, our logistic regression and random forest models should be considered exploratory to find biological insights instead of a clinically applicable prediction model.""","Table 4, ""Logistic regression AUC of 29 smRNAs"": hsa-miR-21-5p — 0.743. Caption: ""Area under the curve (AUC) values were used to gauge the ability of the univariate LR models to discriminate between PD and control subjects using the 29 smRNA panel.""",PubMed Central open-access full text
