param_id,kind,axis,parameter,symbol,value_as_written,value_si,unit_si,unit_as_written,population,condition,n,method,species,pmid,doi,first_author,year,journal,verbatim_quote,source,note
K011,qualitative_constraint,miR-7/SNCA/alpha-synuclein,secondary nucleation and primary nucleation rate,"k_2, k_n",undetectable,,,undetectable,wild-type alpha-synuclein,"neutral pH, quiescent",,seeded aggregation at decreasing seed concentration,"human (recombinant protein, in vitro)",24817693,10.1073/pnas.1315346111,Buell AK,2014,Proceedings of the National Academy of Sciences,"We also find that at neutral pH under quiescent conditions homogeneous primary nucleation and secondary processes, such as fragmentation and surface-assisted nucleation, which can lead to proliferation of the total number of aggregates, are undetectable.","Scite indexed full text (open access, bronze)","Recorded as a measured absence, not a fitted zero. This is a hard constraint on the model: at neutral pH the aggregate number cannot self-amplify, so any autocatalytic term must be switched off unless the compartment is acidic. Below pH 6 the authors report secondary nucleation rising sharply."
K012,numeric,miR-29/BACE1/Abeta,reaction order of secondary nucleation with respect to monomer,n_2,2,2,dimensionless,dimensionless,recombinant Abeta42,"quiescent, pH 8.0",,global fit of ThT aggregation time courses + selective radiolabelling,"human (recombinant Abeta42 peptide, in vitro)",23703910,10.1073/pnas.1218402110,Cohen SIA,2013,Proceedings of the National Academy of Sciences,"The value of the scaling exponent is, however, consistent with a dominant secondary nucleation pathway characterized by a monomer dependence of n2 = 2 and a contribution from primary nucleation with a reaction order of nc = 2, the effect of which is to lower the scaling exponent from the value gamma = -(n2 + 1)/2 = -1.5 toward the value gamma = -nc/2 = -1 given for proliferation through primary nucleation only.","Scite indexed full text (open access, bronze)",The authors caution in the same paper that reaction orders need not correspond to the structural size of the nucleus. Superscripts and Greek letters restored from the PDF text extraction; no digit changed.
K013,numeric,miR-29/BACE1/Abeta,reaction order of primary nucleation with respect to monomer,n_c,2,2,dimensionless,dimensionless,recombinant Abeta42,"quiescent, pH 8.0",,global fit of ThT aggregation time courses + selective radiolabelling,"human (recombinant Abeta42 peptide, in vitro)",23703910,10.1073/pnas.1218402110,Cohen SIA,2013,Proceedings of the National Academy of Sciences,"The value of the scaling exponent is, however, consistent with a dominant secondary nucleation pathway characterized by a monomer dependence of n2 = 2 and a contribution from primary nucleation with a reaction order of nc = 2, the effect of which is to lower the scaling exponent from the value gamma = -(n2 + 1)/2 = -1.5 toward the value gamma = -nc/2 = -1 given for proliferation through primary nucleation only.","Scite indexed full text (open access, bronze)",Same sentence as K012.
K014,numeric,miR-29/BACE1/Abeta,critical fibril concentration above which secondary nucleation dominates,M_star,10,1e-08,M,nM,recombinant Abeta42,"quiescent, pH 8.0",,global fit of ThT aggregation time courses + selective radiolabelling,"human (recombinant Abeta42 peptide, in vitro)",23703910,10.1073/pnas.1218402110,Cohen SIA,2013,Proceedings of the National Academy of Sciences,"The critical concentration of fibrils, above which secondary nucleation becomes the dominant mechanism generating new aggregates, is given from the ratio of the primary to secondary nucleation rate constants, M* = kn/k2; the parameters obtained in Fig. 1D define this concentration to be of the order of 10 nM.","Scite indexed full text (open access, bronze)","Order-of-magnitude value, stated as such by the authors. This is the switch point for the autocatalytic term in the Abeta arm of the model: below it, aggregate number grows only by primary nucleation."
K015,numeric,both,"average miRNA half-life, proliferation-corrected",t_half_miR_avg,119,0.00582477,1/hour,hours,panel of six miRNAs representative of 104,modelled non-dividing cell after inducible Dicer1 ablation,,"inducible Dicer1 deletion in immortalised MEFs, RT-qPCR, decay model corrected for division",mouse,21447562,10.1093/nar/gkr148,Gantier MP,2011,Nucleic Acids Research,"Based on the averaged experimental measurements of the panel of six miRNAs, the theoretic average miRNA half-life thus obtained was 119 h (~5 days).",PubMed Central open-access full text (PMC3141258),"Modelled, not directly observed: the value comes from correcting a dividing-cell measurement for dilution by division. It is the canonical 'miRNAs are very stable' figure and sits at the long end of every other estimate in this table. value_si is the first-order degradation constant k = ln2 / half-life. Greek letters and symbols restored from the PDF text extraction (alpha, ~, <, >); no digit changed."
K016,numeric,both,"median miRNA half-life, contact-inhibited (non-dividing) cells",t_half_miR_median,34,0.0203867,1/hour,h,guide strands of 201 miRNAs,contact-inhibited MEFs,201 miRNAs,"5-ethynyluridine (5EU) metabolic labelling, small-RNA sequencing",mouse,31519739,10.1101/gr.251421.119,Kingston ER,2019,Genome Research,"Comparing rates of miRNA turnover in contact-inhibited MEFs, dividing MEFs, and mESCs revealed both specific changes in rates of turnover of individual miRNAs as well as general changes in miRNA turnover rates, as illustrated by the decreases in the median half-life from 34 h in contact-inhibited MEFs to 25 h in dividing MEFs and 11 h in mESCs.",PubMed Central open-access full text (PMC6836734),"Directly measured by metabolic labelling rather than inferred from Dicer loss, and in non-dividing cells - the closest condition here to a post-mitotic neuron. Roughly 3.5-fold shorter than K015; the gap between the two methods is itself a reason to run the model across the range. value_si is the first-order degradation constant k = ln2 / half-life."
K017,numeric,miR-29/BACE1/Abeta,miR-29b half-life,t_half_miR29b,7,0.099021,1/hour,h,"synthetic miRNA duplex mimics, pulse-chase","HeLa, <80% confluence, 40 nM mimic, Northern blot at 0-12 h",3 independent experiments,"pulse-chase of transfected miRNA mimics, Northern blot",human cell line (HeLa),21288881,10.1093/nar/gkr020,Zhang Z,2011,Nucleic Acids Research,"MiR-34a and miR-17 possessed a moderate turnover rate, with a half life of about 12 h; Let-7a and miR-29b rapidly disappeared, with a half life of 11 and 7 h, respectively.",PubMed Central open-access full text (PMC3105410),"Transfected synthetic mimic in a dividing cancer line, so the value includes dilution by division and is a lower bound on the intrinsic neuronal half-life. value_si is the first-order degradation constant k = ln2 / half-life."
K018,numeric,miR-29/BACE1/Abeta,miR-29c half-life,t_half_miR29c,10.6,0.0653912,1/hour,h,"synthetic miRNA duplex mimics, pulse-chase","HeLa, <80% confluence, 40 nM mimic, Northern blot at 0-12 h",3 independent experiments,"pulse-chase of transfected miRNA mimics, Northern blot",human cell line (HeLa),21288881,10.1093/nar/gkr020,Zhang Z,2011,Nucleic Acids Research,"MiR-29c is another member of miR-29 family, and our assay showed it was much more unstable than miR-29a, with a half life of 10.6 h.",PubMed Central open-access full text (PMC3105410),Same caveat as K017. value_si is the first-order degradation constant k = ln2 / half-life.
K019,qualitative_constraint,miR-29/BACE1/Abeta,miR-29a half-life,t_half_miR29a,stable,,,beyond the 12 h assay window,"synthetic miRNA duplex mimics, pulse-chase","HeLa, <80% confluence, 40 nM mimic, Northern blot at 0-12 h",3 independent experiments,"pulse-chase of transfected miRNA mimics, Northern blot",human cell line (HeLa),21288881,10.1093/nar/gkr020,Zhang Z,2011,Nucleic Acids Research,"MiR-29a is stable, while miR-29b is rapidly decayed in HeLa cells although their sequence are highly similar",PubMed Central open-access full text (PMC3105410),"Recorded as a qualitative constraint because the assay could not resolve a number: miR-29a did not decay measurably within 12 h. The three miR-29 paralogues differ several-fold in stability, driven by uracils at positions 9-11, so the model must not treat 'miR-29' as a single species."
K020,numeric,miR-7/SNCA/alpha-synuclein,miR-7 half-life,t_half_miR7,1.7,0.407734,1/hour,h,miR-7a guide strand,contact-inhibited MEFs,,"5-ethynyluridine (5EU) metabolic labelling, small-RNA sequencing",mouse,31519739,10.1101/gr.251421.119,Kingston ER,2019,Genome Research,"Of the guide strands expressed in contact-inhibited MEF cells, the least stable was miR-7a (hereafter referred to as miR-7, because miR-7b, the other miR-7 isoform, was below the detection threshold in MEFs and mESCs), with a half-life of only 1.7 h measured in our high-throughput analysis.",PubMed Central open-access full text (PMC6836734),"The shortest miRNA half-life measured in this study, and roughly 20-fold shorter than the median (K016). It is driven by target-directed degradation through the lncRNA Cyrano: the same paper reports that removing Cyrano raised miR-7 half-life more than 10-fold. This is a real feature of the miR-7/SNCA axis the source monograph modelled with a generic miRNA decay rate. value_si is the first-order degradation constant k = ln2 / half-life."
K021,numeric,miR-7/SNCA/alpha-synuclein,miR-7 half-life upper bound across cell states,t_half_miR7_max,5,0.138629,1/hour,h,miR-7 guide strand,"contact-inhibited MEFs, dividing MEFs and mESCs",3 data sets,"5-ethynyluridine (5EU) metabolic labelling, small-RNA sequencing",mouse,31519739,10.1101/gr.251421.119,Kingston ER,2019,Genome Research,"A notable exception to this cell-type-specific behavior was miR-7, which had a half-life <5 h in all three data sets.",PubMed Central open-access full text (PMC6836734),"An upper bound, not a point estimate: value_si is therefore the slowest decay the data allow, k >= ln2/5 h. value_si is the first-order degradation constant k = ln2 / half-life."
K022,numeric,miR-7/SNCA/alpha-synuclein,"miR-7 copy number per neuron, wild type",miR7_copies_wt,40,40,molecules per cell,molecules per cell,primary cerebellar granule neurons,wild type,,absolute quantification against synthetic standards,mouse,29887379,10.1016/j.cell.2018.05.022,Kleaveland B,2018,Cell,"In wild-type cerebellar granule neuron (CGN) cultures, Cyrano was present at 102 ± 16 molecules per cell, and miR-7 was present at 40 ± 7 molecules per cell, whereas in Cyrano-deficient CGNs, miR-7 levels increased 45 fold to 1800 molecules per cell",PubMed Central open-access full text (PMC6559361),"Neuronal, primary cells. This is an absolute steady state, and it is low. It gives the model a hard anchor for the miR-7 pool size in neurons rather than an arbitrary initial condition."
K023,numeric,miR-7/SNCA/alpha-synuclein,fold increase in neuronal miR-7 when Cyrano is removed,miR7_fold_noCyrano,45,45,fold,fold,primary cerebellar granule neurons,Cyrano-deficient vs wild type,,absolute quantification against synthetic standards,mouse,29887379,10.1016/j.cell.2018.05.022,Kleaveland B,2018,Cell,"In wild-type cerebellar granule neuron (CGN) cultures, Cyrano was present at 102 ± 16 molecules per cell, and miR-7 was present at 40 ± 7 molecules per cell, whereas in Cyrano-deficient CGNs, miR-7 levels increased 45 fold to 1800 molecules per cell",PubMed Central open-access full text (PMC6559361),"Shows how far the neuronal miR-7 pool is held below what its production alone would give. In the brain in vivo the same paper reports 40-47-fold increases in cerebellum but only 6-7-fold in hippocampus, so the size of this lever is region-dependent."
K024,numeric,miR-29/BACE1/Abeta,BACE1 protein half-life,t_half_BACE1,4,0.173287,1/hour,hr,endogenous BACE1,"HEK-293 cells, cycloheximide 25 ug/ml",,"cycloheximide chase, BACE1 ELISA / western blot",human cell line (HEK-293),31416794,10.1016/j.jalz.2019.06.3918,Liu L,2019,Alzheimer's & Dementia,"We observed similar declines of BACE1 levels with CHX alone and CHX plus L685,458 over 6 hours of treatment, confirming the ~4 hr half-life of BACE1 and showing that another aspartyl protease inhibitor (L685,458) had no effect on it.",PubMed Central open-access full text (PMC6756967),"The same paper gives a range of 2-4 hr from western blot. Non-neuronal cells; see K025 for neurons, where turnover is clearly slower. value_si is the first-order degradation constant k = ln2 / half-life. Greek letters and symbols restored from the PDF text extraction (alpha, ~, <, >); no digit changed."
K025,numeric,miR-29/BACE1/Abeta,BACE1 protein loss over 6 h of translation block in neurons,BACE1_loss_6h_neuron,20,0.0371906,1/hour,% decrease over 6 hr (approximate),endogenous BACE1,"rat primary cortical neurons, DIV 15, cycloheximide",,"cycloheximide chase, BACE1 ELISA / western blot",rat,31416794,10.1016/j.jalz.2019.06.3918,Liu L,2019,Alzheimer's & Dementia,"The half-life of BACE1 was longer in the primary neurons, where 6 hr of CHX treatment alone decreased cellular BACE1 levels by only ~20%.",PubMed Central open-access full text (PMC6756967),"The paper does not state a neuronal half-life. value_si is derived here, assuming first-order decay: k = -ln(0.8)/6 h, which corresponds to a half-life of about 19 h. The '~' in the source makes this approximate, and the derivation is recorded so it can be checked or replaced. Greek letters and symbols restored from the PDF text extraction (alpha, ~, <, >); no digit changed."
K026,numeric,miR-7/SNCA/alpha-synuclein,alpha-synuclein protein half-life,t_half_aSyn,24,0.0288811,1/hour,hr,stably expressed untagged human alpha-synuclein,undifferentiated SH-SY5Y cells,,"35S pulse-chase, immunoprecipitation",human cell line (SH-SY5Y),15317865,10.1523/JNEUROSCI.1370-04.2004,Li W,2004,Journal of Neuroscience,"Even in the undifferentiated SH-SY5Y cells, the half-life of alpha-Syn (~24 hr) is comparable with other long-lived proteins such as superoxide dismutase-1.","Scite indexed full text (open access, bronze); sentences are the paper's own","A lower bound for neurons: the authors state that alpha-synuclein is further stabilised as neurons mature and that its in vivo half-life is 'clearly >24 hr'. They also explain why earlier reports of <3 hr, from epitope-tagged, transiently expressed protein, should not be used. value_si is the first-order degradation constant k = ln2 / half-life. Greek letters and symbols restored from the PDF text extraction (alpha, ~, <, >); no digit changed."
K027,numeric,miR-7/SNCA/alpha-synuclein,age-related change in human substantia nigra alpha-synuclein protein,aSyn_SN_aging,100,1.0,fractional increase,% increase (approximate),human post-mortem substantia nigra,subjects <60 vs >80 years of age,,quantitative immunoblot,human,15317865,10.1523/JNEUROSCI.1370-04.2004,Li W,2004,Journal of Neuroscience,The increase in alpha-Syn protein levels in SN with aging (~100% increase in SN; comparison of subjects <60 vs >80 years of age) may contribute to the increased vulnerability of SN to alpha-synucleinopathy.,"Scite indexed full text (open access, bronze); sentences are the paper's own","Human tissue. Read together with K028: protein roughly doubles while mRNA falls, so in the ageing human brain alpha-synuclein levels are set post-translationally. That limits how much any miRNA acting on SNCA mRNA - miR-7 included - can move steady-state protein. Greek letters and symbols restored from the PDF text extraction (alpha, ~, <, >); no digit changed."
K028,numeric,miR-7/SNCA/alpha-synuclein,age-related change in human frontal cortex alpha-synuclein mRNA,SNCA_mRNA_aging,60,-0.6,fractional change,% decrease (approximate),human post-mortem frontal cortex,ageing,,semiquantitative RT-PCR,human,15317865,10.1523/JNEUROSCI.1370-04.2004,Li W,2004,Journal of Neuroscience,"Consistent with the magnitude of age-associated decrease in alpha-Syn mRNA observed with mouse brain, the alpha-Syn mRNA levels in Fcx decreased by ~60% with aging in the human subjects that were examined.","Scite indexed full text (open access, bronze); sentences are the paper's own","Frontal cortex, not substantia nigra, and semiquantitative; recorded because it is human and because its direction is opposite to K027. Greek letters and symbols restored from the PDF text extraction (alpha, ~, <, >); no digit changed."
K029,numeric,both,"median protein half-life, mouse brain proteome in vivo",t_half_brain_proteome,8.12,0.00355679,1/hour,days,whole brain proteome,"adult mouse, in vivo",,"in vivo 15N metabolic pulse labelling, mass spectrometry",mouse,30315172,10.1038/s41467-018-06519-0,Fornasiero EF,2018,Nature Communications,"For the overall determination of protein lifetimes we relied on short pulses (0, 5, 14, and 21 days), which we estimated after a preliminary study to be the best pulsing times for picturing the large majority of the proteome (which has a median lifetime of 8.12 days and an average of 10.7 days).",PubMed Central open-access full text (PMC6185916),"Proteome-wide, not specific to BACE1 or alpha-synuclein; protein-specific values are only in the supplementary tables, which could not be retrieved. The paper defines its 'lifetime' as half-life ('protein half-life; referred in this work as lifetime'). Used only as a prior against which the cell-culture values above can be judged: the in vivo brain median is days, while K024-K026 are hours. value_si is the first-order degradation constant k = ln2 / half-life."
K030,declared_gap,both,BACE1 and SNCA mRNA half-lives,"t_half_mRNA_BACE1, t_half_mRNA_SNCA",not measured,,,gap,,,,,not applicable,,,,,,,declared gap,"Still a gap, now checked directly against the primary supplementary table rather than inferred. The user supplied the Schwanhausser et al. supplementary spreadsheet (archived at data/raw/kinetics_2026/). Searching all 5028 rows by gene name, UniProt accession, RefSeq id and free text returns ZERO entries for Bace1, Snca, Sncb, Sncg or App; the only near matches are APP-BINDING proteins (Appbp1, Appbp2, Apbb1ip), which is exactly the kind of false hit a text search would accept. The study is in NIH3T3 mouse fibroblasts, which do not express these neuronal genes at detectable levels, so no gene-level half-life for BACE1 or SNCA mRNA exists in it. Genome-wide medians are recorded separately as K040 and K041 and used only to anchor the free-parameter range. Both decay constants remain free parameters in scripts/12, with sensitivity reported."
K031,numeric,miR-29/BACE1/Abeta,"Abeta42 aggregate load in brain, lower quartile",Abeta42_load,2,2e-09,M,nM,control subjects,post-mortem brain tissue,10 studies collated,"literature-collated measurements of insoluble Abeta42 brain load (Table S1), summarised as quartiles in Table S2",human (post-mortem brain),23703910,10.1073/pnas.1218402110,Cohen SIA,2013,Proceedings of the National Academy of Sciences,"Table S2. Values for the median and the quartiles for Abeta42 aggregate loads calculated from the dataset shown in Table S1. Estimated Abeta42 aggregate load/nM. Quartile | Control subjects | Patients with AD. Lower quartile 2 | 200. Median 20 | 2,000. Upper quartile 40 | 3,000.","SI Appendix PDF supplied by the user (pnas.201218402si.pdf), Table S2, page 10 of 10","Human brain, not cell culture. The AD median is 100-fold the control median. Read against K014: the critical fibril concentration above which secondary nucleation dominates is of the order of 10 nM, so BOTH groups sit above that threshold and AD sits about 200-fold above it. This gives the aggregation block a real initial condition instead of an arbitrary seed."
K032,numeric,miR-29/BACE1/Abeta,"Abeta42 aggregate load in brain, median",Abeta42_load,20,2e-08,M,nM,control subjects,post-mortem brain tissue,10 studies collated,"literature-collated measurements of insoluble Abeta42 brain load (Table S1), summarised as quartiles in Table S2",human (post-mortem brain),23703910,10.1073/pnas.1218402110,Cohen SIA,2013,Proceedings of the National Academy of Sciences,"Table S2. Values for the median and the quartiles for Abeta42 aggregate loads calculated from the dataset shown in Table S1. Estimated Abeta42 aggregate load/nM. Quartile | Control subjects | Patients with AD. Lower quartile 2 | 200. Median 20 | 2,000. Upper quartile 40 | 3,000.","SI Appendix PDF supplied by the user (pnas.201218402si.pdf), Table S2, page 10 of 10","Human brain, not cell culture. The AD median is 100-fold the control median. Read against K014: the critical fibril concentration above which secondary nucleation dominates is of the order of 10 nM, so BOTH groups sit above that threshold and AD sits about 200-fold above it. This gives the aggregation block a real initial condition instead of an arbitrary seed."
K033,numeric,miR-29/BACE1/Abeta,"Abeta42 aggregate load in brain, upper quartile",Abeta42_load,40,4e-08,M,nM,control subjects,post-mortem brain tissue,10 studies collated,"literature-collated measurements of insoluble Abeta42 brain load (Table S1), summarised as quartiles in Table S2",human (post-mortem brain),23703910,10.1073/pnas.1218402110,Cohen SIA,2013,Proceedings of the National Academy of Sciences,"Table S2. Values for the median and the quartiles for Abeta42 aggregate loads calculated from the dataset shown in Table S1. Estimated Abeta42 aggregate load/nM. Quartile | Control subjects | Patients with AD. Lower quartile 2 | 200. Median 20 | 2,000. Upper quartile 40 | 3,000.","SI Appendix PDF supplied by the user (pnas.201218402si.pdf), Table S2, page 10 of 10","Human brain, not cell culture. The AD median is 100-fold the control median. Read against K014: the critical fibril concentration above which secondary nucleation dominates is of the order of 10 nM, so BOTH groups sit above that threshold and AD sits about 200-fold above it. This gives the aggregation block a real initial condition instead of an arbitrary seed."
K034,numeric,miR-29/BACE1/Abeta,"Abeta42 aggregate load in brain, lower quartile",Abeta42_load,200,2.0000000000000002e-07,M,nM,patients with AD,post-mortem brain tissue,10 studies collated,"literature-collated measurements of insoluble Abeta42 brain load (Table S1), summarised as quartiles in Table S2",human (post-mortem brain),23703910,10.1073/pnas.1218402110,Cohen SIA,2013,Proceedings of the National Academy of Sciences,"Table S2. Values for the median and the quartiles for Abeta42 aggregate loads calculated from the dataset shown in Table S1. Estimated Abeta42 aggregate load/nM. Quartile | Control subjects | Patients with AD. Lower quartile 2 | 200. Median 20 | 2,000. Upper quartile 40 | 3,000.","SI Appendix PDF supplied by the user (pnas.201218402si.pdf), Table S2, page 10 of 10","Human brain, not cell culture. The AD median is 100-fold the control median. Read against K014: the critical fibril concentration above which secondary nucleation dominates is of the order of 10 nM, so BOTH groups sit above that threshold and AD sits about 200-fold above it. This gives the aggregation block a real initial condition instead of an arbitrary seed."
K035,numeric,miR-29/BACE1/Abeta,"Abeta42 aggregate load in brain, median",Abeta42_load,"2,000",2.0000000000000003e-06,M,nM,patients with AD,post-mortem brain tissue,10 studies collated,"literature-collated measurements of insoluble Abeta42 brain load (Table S1), summarised as quartiles in Table S2",human (post-mortem brain),23703910,10.1073/pnas.1218402110,Cohen SIA,2013,Proceedings of the National Academy of Sciences,"Table S2. Values for the median and the quartiles for Abeta42 aggregate loads calculated from the dataset shown in Table S1. Estimated Abeta42 aggregate load/nM. Quartile | Control subjects | Patients with AD. Lower quartile 2 | 200. Median 20 | 2,000. Upper quartile 40 | 3,000.","SI Appendix PDF supplied by the user (pnas.201218402si.pdf), Table S2, page 10 of 10","Human brain, not cell culture. The AD median is 100-fold the control median. Read against K014: the critical fibril concentration above which secondary nucleation dominates is of the order of 10 nM, so BOTH groups sit above that threshold and AD sits about 200-fold above it. This gives the aggregation block a real initial condition instead of an arbitrary seed."
K036,numeric,miR-29/BACE1/Abeta,"Abeta42 aggregate load in brain, upper quartile",Abeta42_load,"3,000",3e-06,M,nM,patients with AD,post-mortem brain tissue,10 studies collated,"literature-collated measurements of insoluble Abeta42 brain load (Table S1), summarised as quartiles in Table S2",human (post-mortem brain),23703910,10.1073/pnas.1218402110,Cohen SIA,2013,Proceedings of the National Academy of Sciences,"Table S2. Values for the median and the quartiles for Abeta42 aggregate loads calculated from the dataset shown in Table S1. Estimated Abeta42 aggregate load/nM. Quartile | Control subjects | Patients with AD. Lower quartile 2 | 200. Median 20 | 2,000. Upper quartile 40 | 3,000.","SI Appendix PDF supplied by the user (pnas.201218402si.pdf), Table S2, page 10 of 10","Human brain, not cell culture. The AD median is 100-fold the control median. Read against K014: the critical fibril concentration above which secondary nucleation dominates is of the order of 10 nM, so BOTH groups sit above that threshold and AD sits about 200-fold above it. This gives the aggregation block a real initial condition instead of an arbitrary seed."
K037,declared_gap,miR-29/BACE1/Abeta,"Abeta42 elongation, primary and secondary nucleation rate constants","k_plus_Ab, k_n_Ab, k_2_Ab",not separately identifiable,,,,,,,,not applicable,,,,,,,declared gap,"Checked directly in the SI Appendix PDF supplied by the user. The fits report only the COMBINED parameters sqrt(k+ kn) and sqrt(k+ k2), which is what bulk ThT kinetics can identify; k+, kn and k2 are not separable from these data and no absolute value with units is printed anywhere in the SI. This confirms, from the primary source itself, the earlier decision to leave the Abeta elongation constant out rather than carry it over from a citing paper. In scripts/12 these three remain free parameters and that block stays illustrative."
