PMID,DOI,Title,Abstract,Journal,Year,Authors,MeSH,Keywords
42635855,10.1007/s12640-026-00823-0,Therapeutic Effects of miR-29b-Enriched Nanovesicles on Mitochondrial Injury and Neuroinflammatory Processes in Alzheimer's Disease.,"Alzheimer's disease (AD) is defined by the accumulation of extracellular amyloid-β plaques and intracellular neurofibrillary tangles, which drive neuronal and synaptic impairment. In AD, the accumulation of protein aggregates leads to neuroinflammation, increased oxidative stress, and mitochondrial damage, resulting in neuronal loss and cognitive impairment. Emerging evidence highlights that microRNAs (miRNAs) modulate AD-related pathological pathways and may offer opportunities for therapeutic intervention. In this study, we investigated the therapeutic potential of microRNA-29b (miR-29b) delivered via small extracellular vesicles (sEVs) in an in vitro neuroblastoma model of AD. Four experimental groups were established using SH-SY5Y neuroblastoma cells: (1) untreated control cells, (2) Aβ-treated cells to model AD-like pathology, (3) cells treated with unloaded sEVs, and (4) cells treated with miR-29b-loaded sEVs (sEV-miR-29b). To evaluate treatment effects, we assessed markers of oxidative stress (ROS, LDH, SOD, MDA, GPX1), neuroinflammation (BDNF, ICAM1, TNF-α, NfL, MIF, VEGFA, MCP-1), mitochondrial dysfunction (Cytc, TFAM, PINK1, DNM1L), synaptic integrity (CPLX2, ROR1), and AD pathology (Amyloid-β, Total Tau, pTau181, pTau217). Our findings demonstrate that treatment with sEV-miR-29b attenuated Aβ-induced oxidative stress, reduced pro-inflammatory signaling, and improved mitochondrial homeostasis compared with Aβ-only and sEV-only groups. Moreover, sEV-miR-29b treatment partially restored synaptic protein expression and decreased pathological tau phosphorylation. These results indicate that miR-29b plays a regulatory role in neuroinflammation, oxidative stress, and mitochondrial function, suggesting that sEV-mediated delivery of miR-29b represents a promising therapeutic strategy for modulating AD-related neurodegenerative mechanisms. This study highlights the potential of miR-29b-loaded sEVs as a therapeutic approach for AD.",Neurotoxicity research,2026,Gönüllü S; Dalkılınç E; Çelik O; Çelik H; Küçükler S; Topal A; Akay R; Yıldız MO; Alım B; Özdemir S,"MicroRNAs; Humans; Alzheimer Disease; Mitochondria; Neuroinflammatory Diseases; Oxidative Stress; Cell Line, Tumor; Amyloid beta-Peptides; Extracellular Vesicles",Alzheimer’s disease; Mitochondrial dysfunction; Neuroinflammation and oxidative stress; miR-29b; small extracellular vesicles
42631818,10.1007/s12035-026-06143-w,The Role of MicroRNA in Diagnosis of Huntington's Disease: A Systematic Review.,"Huntington's disease (HD) is an autosomal dominant genetic neurodegenerative disorder with features of progressive motor, cognitive, and psychiatric dysfunction. Current diagnosis relies largely on clinical presentation and genetic testing but lacks sensitivity to early disease diagnosis or progression monitoring. MicroRNAs (miRNAs) are short non-coding RNA molecules that regulate gene expression post-transcriptionally. They are increasingly being investigated as potential diagnostic biomarkers, especially given their detectability in biofluids like plasma and cerebrospinal fluid. This review aimed to evaluate the clinical utility of miRNAs in HD, specifically defining their roles not as primary diagnostic screeners, but as dynamic biomarkers for predicting clinical conversion in premanifest individuals, tracking disease progression, and monitoring therapeutic responses. A comprehensive literature search was conducted in Medline, Embase, PubMed, Scopus, Cochrane, and ClinicalTrials.gov up to November 2024. Studies written in English including human subjects or HD models quantifying miRNA expression level for diagnostic purposes were included in this systematic review. Data was extracted onto a standard form and quality assessed with the MINORS and Cochrane tools. Thirty studies with 1889 participants were included. Dysregulated miRNAs that had been repeatedly identified in HD were miRNA-9, miRNA-124, miRNA-214, miRNA-146a, and miRNA-10b. Remarkably, Romano et al. have attained 88% sensitivity and 92% specificity for SNORD13 in plasma, and Chang et al. have achieved AUC > 0.90 for a multi-miRNA panel. While promising trends, high heterogeneity of methods and incomplete reporting of diagnostic metrics limited meta-analysis. miRNAs, particularly exosome-derived ones, possess great potential as minimally invasive biomarkers for HD diagnosis. However, while current evidence strongly supports this biomarker potential, immediate clinical implementation is not yet feasible. Future studies must resolve ongoing challenges in assay standardization, cross-cohort external validation, and integration with clinical and imaging data before clinical deployment can be realized.",Molecular neurobiology,2026,Khan S; Thalib HI; Khan TN; Alawi KM; Alabdrabalrasol ZH; Hassan FE,Humans; MicroRNAs; Huntington Disease; Biomarkers; Animals,Huntington’s disease; MiR-10b-5p; MiR-124a; MiR-9; MicroRNA; SNORD13; Systematic review
42626787,10.1177/10998004261473903,Differential microRNA Expression Reveals Sex-Specific Neuroinflammatory and Neurodegenerative Pathways in MS.,"Relapsing-remitting multiple sclerosis (RRMS) exhibits clear sex-based disparities: females have higher incidence and inflammatory activity, whereas males have lower incidence, yet experience an accelerated disease course of neurodegeneration and disability accumulation. MicroRNAs (miRNAs). Key epigenetic regulators of immune and neuronal pathways may contribute to these differences, but sex is rarely examined as a primary biological variable in MS miRNA research. This exploratory pilot study characterized sex-specific miRNA expression in treatment-naïve individuals with RRMS using samples from 46 participants (17 males and 17 females with RRMS; 6 male and 6 female healthy controls) obtained from the Accelerated Cure Project biorepository. miRNA expression was quantified using the NanoString nCounter Human v3 panel, and differential expression (0.05, fold-change ≥1.3) was evaluated across four comparisons: Multiple sclerosis (MS) females vs. MS males; sex-matched MS vs. control groups; and female vs. male healthy controls. Distinct sex-biased miRNA signatures emerged. Males with RRMS demonstrated dysregulation of immune-associated miRNAs, including coordinated changes in the miR-29, miR-30, and miR-199 families. Females with RRMS exhibited consistent downregulation of miR-941 and differential expression of immune-associated miRNAs including miR-223-3p, miR-485-3p, and miR-199a-5p. Several immune-regulatory miRNAs, including miR-223-3p, miR-146a-5p, miR-196b-5p, and miR-183-5p, were differentially expressed in both healthy controls and disease-related comparisons, suggesting that sexually dimorphic immune regulatory programs may precede disease onset. These findings indicate that disease-associated miRNA alterations are superimposed on pre-existing sex-specific immune networks and underscore the importance of incorporating sex as a biological variable in biomarker discovery and precision medicine for MS.",Biological research for nursing,2026,Buxhoeveden S; Swift-Scanlan T; Olex A; Carter C; Oh U,,epigenetics; microRNA; multiple sclerosis; neurodegeneration; neuroinflammation; sex differences
42608670,10.1186/s12859-026-06479-z,MiRQuery: a user-friendly web app for the interactive analysis and visualization of microRNA sequencing data.,"MicroRNAs (miRNAs) are a class of small noncoding RNAs that inhibit the translation of target messenger RNAs (mRNAs). Given that a single miRNA can regulate the translation of many mRNAs, miRNAs have emerged as critical regulators of physiological processes. MiRNAs have been linked to the development and progression of cancers, neurodegenerative and other diseases, most recently using high-throughput miRNA ""miRNome"" sequencing. As miRNome sequencing represents a newer 'omics application, limited guidance is available for how to analyze this data. Existing interfaces that enable non-computational users to interpret and perform comprehensive secondary analysis on their own miRNome data are limited in functionality and/or interactivity. Therefore, we developed MiRQuery to address this need.

MiRQuery is an RShiny application which features common visualization methods for high-throughput sequencing data, such as multidimensional scaling, stacked column charts, heatmaps, and boxplots to compare expression across groups for a user-specified miRNA of interest. MiRQuery further provides support for differential miRNA and gene expression analysis. Unique to miRNome sequencing data analysis, users may retrieve predicted gene targets of differentially expressed miRNA and follow up with pathway overrepresentation analysis of the gene targets. Finally, if users upload paired bulk mRNA sequencing data, they may identify differentially expressed genes and negatively correlated miRNA-gene pairs.

By providing access to sophisticated bioinformatics tools through a user-friendly interface, MiRQuery empowers both scientists new to bioinformatics and bioinformaticians new to the field to extract insights rapidly and reproducibly from their sequencing data. MiRQuery can be accessed through PositConnect at https://julianneyang-mirquery.share.connect.posit.cloud/ , and alternatively is available by user local installation via instructions on the Github project homepage.",BMC bioinformatics,2026,Yang JC; Sauter J; Adam GC; Carr R,"MicroRNAs; Software; High-Throughput Nucleotide Sequencing; Sequence Analysis, RNA; Internet; Computational Biology; User-Computer Interface; Humans",High-throughput sequencing; Next-generation sequencing; RShiny; miRNA; miRNome; miRnomics
42606643,10.1007/s12035-026-06137-8,Elevated MicroRNA-146a in Alzheimer's Disease and Its Diagnostic Potential.,"Alzheimer's disease (AD) is a progressive neurological condition marked by memory impairment and cognitive deterioration. Early diagnosis remains difficult due to the absence of reliable peripheral biomarkers. Circulating microRNAs (miRNAs) have recently gained attention as non-invasive indicators measurable in blood. Among these, microRNA-146a is of particular interest because of its role in inflammatory signaling and its altered expression in AD. This article highlights the diagnostic potential and biological function of microRNA-146a as a peripheral biomarker for Alzheimer's disease. The current study aimed to examine the expression and clinical relevance of microRNA-146a and to assess its possible influence on disease progression in Alzheimer's disease patients. Blood samples were collected after obtaining signed informed consent (No. 3912/2022 MRB) from 50 AD patients and from 50 healthy controls (HC); the miRNA content was screened by RT-PC. The expression of miRNA-146a is significantly greater in the Alzheimer's disease group (4.369 ± 3.168 -fold change) than in the control group (1.056 ± 0.702) (p < 0.001). In order to evaluate miR146a expression efficiency, a receiver operating characteristic (ROC) curve showed miR146a exhibited strong discriminative capability, with an AUC of 0.906 (95% CI 0.83-0.98). At a threshold of 2.21, the sensitivity was 90% and the specificity was 92%, demonstrating exceptional diagnostic efficacy. Logistic regression showed a strong inverse association trend (B = -6.803, OR = 0.001), with borderline statistical significance (p = 0.09). Cross-tabulation with Chi-square test confirmed a highly significant association between miR-146a expression and disease status (p < 0.001). A decision tree using Exhaustive CHAID further supported the finding, achieving 90% classification accuracy with a split point at 2.195. Collectively, these results demonstrate the robustness of miR-146a as a potential biomarker for distinguishing Alzheimer's patients from healthy individuals. An increase was found in the content of expression of microRNA-146a in AD patients compared with HC. Level of microRNA-146a, and correlated with disease; might be used as a biomarker reflecting AD.",Molecular neurobiology,2026,Mansor MR,Humans; Alzheimer Disease; MicroRNAs; Female; Male; Aged; Biomarkers; ROC Curve; Case-Control Studies,Alzheimer’s disease; Biomarker; Diagnosis; Inflammation; MicroRNA-146a
42603243,10.1007/s12031-026-02587-w,Restoration of Neuronal Metabolism and Memory in Alzheimer's Disease by Reprogramming the Exosomal microRNA Network.,"Historically the development of amyloid-β plaques and tau neurofibrillary tangles have been used as the hallmarks of Alzheimer's disease (AD). However, there is increasing evidence suggests that these pathological hallmarks are secondary to deeper metabolic defect in the brain. AD is progressively being recognized as a metabolic synaptic disorder characterized by insulin resistance, impaired cellular energy homeostasis, mitochondrial dysfunction, and synaptic degeneration. Synaptic plasticity is closely linked to the insulin-sensitive system of glucose utilization, mitochondrial activity, and local protein synthesis that render the synapses highly sensitive to the malfunction of the metabolic system. Recent discoveries highlight the important role of exosomes in mediating communication between neural cells by transferring regulatory miRNAs across neuronal networks. Exosomal miRNAs regulate insulin signaling, synaptic gene expression, mitochondrial function, and neuroinflammation. In AD, exosomal miRNA profiles are significantly altered, with enrichment of miR-29, miR-34a, miR-146a, and miR-21, alongside depletion of synapse-supporting miR-132. These changes contribute to insulin resistance, impaired glucose transporter trafficking, dendritic spine destabilization, and reduced expression of synaptic proteins such as PSD-95 and synaptophysin, ultimately leading to cognitive decline. Importantly, neuron-derived exosomes can cross the blood-brain barrier, making their miRNA cargo promising biomarkers and therapeutic targets for early AD diagnosis and precision treatment.",Journal of molecular neuroscience : MN,2026,Anwer T; Verma A; Asiri A; Alaklobie M; Albaqami A; Alshahrani F; Aly K; Sharma M; Siddiqui S; Alam N; Alam MF,Humans; Alzheimer Disease; MicroRNAs; Exosomes; Animals; Neurons; Neuronal Plasticity; Memory,Alzheimer’s disease; Exosomes; MicroRNAs; Neuronal insulin resistance; Synaptic plasticity
42162905,10.1016/j.cca.2026.121094,Exosomal miRNA in cerebrospinal fluid as biomarkers for neurodegenerative disease.,"Cerebrospinal fluid protein biomarkers, such as the Aβ42/Aβ40 ratio, phosphorylated tau, and neurofilament light chain, have significantly advanced the diagnostic process for Alzheimer's disease. Nonetheless, these biomarkers face challenges in effectively distinguishing Alzheimer's disease from frontotemporal dementia or Parkinson's disease from dementia with Lewy bodies. This limitation arises from overlapping protein profiles and the variability inherent in immunoassay techniques. A complementary class of analytes is exosomal microRNAs in cerebrospinal fluid, where these non-coding RNAs are secreted by neurons, astrocytes, and microglia, are resistant to RNase degradation, and have a disease-specific expression pattern. This review critically evaluates the existing evidence of cerebrospinal fluid exosomal miRNAs as diagnostic biomarkers in Alzheimer's disease, frontotemporal dementia, Parkinson's disease, dementia with Lewy bodies, and amyotrophic lateral sclerosis. Exosome isolation techniques and detection platform characteristics were compared using RT-qPCR, droplet digital PCR, and small RNA sequencing. Pre-analytical factors, such as collection protocols, hemolysis contamination, freeze-thaw cycling, and circadian sampling variation, were assessed. miRNA profiling data based on disease stratification, receiver operating characteristic performance of the combinatorial panel, and strategies combining exosomal miRNAs with core cerebrospinal fluid proteins were synthesized. This article brings together disease-specific miRNA signatures, pre-analytical standardization needs, and diagnostic accuracy analyses in a translational model to fill the literature gap and form the basis for developing exosomal miRNA panels for rigorously validated clinical laboratory practice.",Clinica chimica acta; international journal of clinical chemistry,2026,Alamri MA; Afzal M; Pandey SN; Afzal O; Akela MA; Rekha A,Humans; MicroRNAs; Exosomes; Biomarkers; Neurodegenerative Diseases,Biomarker; Cerebrospinal fluid; Differential diagnosis; Exosomal microRNA; Neurodegenerative disease; Pre-analytical variables
42661704,10.3389/fimmu.2026.1959643,Editorial: Exploring miRNA roles in neuroinflammation and brain aging: mechanisms and therapeutic potential.,[Abstract not available],Frontiers in immunology,2026,Fukuchi KI; Yang J; Williams J,,Alzheimer disease; biomarker; microRNA; microglia; multiple sclerosis; neuroinflamamation; pyroptosis; spinal cord injury
42650138,10.3390/genes17080945,MicroRNA Signature in Plasma-Derived Extracellular Vesicles in Frontotemporal Dementia.,"Frontotemporal dementia (FTD) is a neurodegenerative disease that shares numerous clinical features with other forms of dementia. In this context, non-coding RNAs, specifically microRNAs (miRNAs), represent a promising tool for differential diagnosis. Since these miRNAs can be isolated from circulating extracellular vesicles (EVs) in peripheral blood, they provide a direct insight into FTD-specific molecular processes. Consequently, while EV-contained miRNAs hold potential as disease-specific biomarkers, investigating their relative target genes can help elucidate their precise functional roles.: This work aimed to identify a specific miRNA signature to better characterize FTD pathology.: Building on a previous Next-Generation Sequencing (NGS) analysis, three candidate miRNAs were selected for validation in both EVs and peripheral blood mononuclear cells (PBMCs) of FTD patients. Subsequently, the predicted target genes of two of these miRNAs were validated in PBMCs to assess their expression levels.: Our findings revealed that miR-365a-3p and miR-212 were significantly down-regulated in FTD.: Together with their target genes, these miRNAs are involved in cell cycle and apoptotic pathways, suggesting a potential role in the pathological mechanisms of the disease.",Genes,2026,Minucchi E; Dragoni F; Di Gerlando R; Pavanello G; Cotta Ramusino M; Costa A; Gagliardi S,"Humans; Frontotemporal Dementia; Extracellular Vesicles; MicroRNAs; Female; Biomarkers; Male; Leukocytes, Mononuclear; Middle Aged; Aged; Gene Expression Profiling; High-Throughput Nucleotide Sequencing",EV; FTD; biomarkers; extracellular vesicles; frontotemporal dementia; microRNA
42643736,10.3389/fmolb.2026.1903849,Adaptive-to-maladaptive IRE1α signaling as a driver of amyloidogenic APP processing in Alzheimer's disease.,"Alzheimer's disease (AD) is increasingly recognized as a disorder of proteostatic failure characterized by progressive disruption of neuronal protein quality control, culminating in amyloid-β (Aβ) accumulation and synaptic dysfunction. Chronic activation of the endoplasmic reticulum (ER) stress response represents one of the earliest molecular alterations detected in vulnerable brain regions and correlates with Braak progression before overt plaque deposition. Inositol-requiring enzyme 1 alpha (IRE1α), the most evolutionarily conserved sensor of the unfolded protein response (UPR), functions as a signaling rheostat within this network through its divergent downstream outputs. Under moderate proteotoxic stress, adaptive IRE1α- X-box binding protein 1 (XBP1) signaling supports ER proteostasis, preserves amyloid precursor protein (APP) quality control, and favors non-amyloidogenic α-secretase processing. Persistent ER stress, however, drives sustained IRE1α hyperactivation and engages regulated IRE1α-dependent decay (RIDD), which destabilizes microRNA (miRNA) networks that normally constrain beta-site APP-cleaving enzyme 1 (BACE1) expression, thereby favoring amyloidogenic APP processing. Accumulating evidence suggests that aging progressively compromises ER proteostatic capacity, thereby redirecting IRE1α signaling away from adaptive XBP1s-mediated responses toward a predominantly RIDD-driven state. This shift may reinforce a self-sustaining cycle in which accumulating Aβ further amplifies ER stress signaling. Here, we examine how dynamic changes in IRE1α signaling bias contribute to amyloidogenic progression in AD and consider whether selective modulation of adaptive versus maladaptive IRE1α outputs may offer stage-dependent therapeutic benefit.",Frontiers in molecular biosciences,2026,Wang D; Yin Q,,APP processing; Alzheimer’s disease; BACE1; ER stress; IRE1α; RIDD; XBP1s; amyloid-β
42643339,10.3389/fnagi.2026.1788991,"Plasma multi-miRNA models classify Alzheimer's, Parkinson's, and Lewy body dementia.","Differentiating Alzheimer's disease (AD) from both Parkinson's disease (PD) and Lewy body dementia (DLB) is difficult due to their clinical similarities. Plasma biomarkers offer an alternative to neuroimaging and cerebrospinal fluid analysis; however, there are limitations with respect to differential diagnosis of AD, PD, and DLB with current clinical assays.

Here we used machine learning to assess plasma miRNAs for their specificity in diagnosing AD vs. PD, and DLB. Our multi-center study assayed 57 AD-associated miRNAs in human plasma from 82 cognitively normal controls (NC), 87 AD, 100 PD, and 20 DLB. Predictive models generated by three independent machine learning methods were evaluated by cross-validated ROC curves [cvAUC (bootstrap bias-corrected 95% CI)]. We also used linear discriminant analysis with all 57 miRNAs to identify a model that best separates AD from PD + DLB participants and DLB from AD+PD participants. Further, we used Target prediction and Ingenuity Pathway Analysis to identify highly relevant mRNA targets of the miRNAs.

Individual assessment of the 57 miRNAs identified a subset of 10 miRNAs that were more AD-specific, and 23 miRNAs that were more PD and/or DLB associated. Ridge logistic regression predictive models with the 10 AD-specific miRNAs had good performance for separating AD vs. PD and DLB (cvAUC = 0.77 [0.70, 0.83]) and AD vs. PD (cvAUC = 0.79 [0.71, 0.85]), but not for AD vs. DLB (cvAUC = 0.58 [0.43, 0.79]). By developing a predictive model using data from all 57 miRNAs and elastic-net regression we achieved good separation of AD from PD (cvAUC = 0.80 [0.72, 0.86]) and DLB (cvAUC = 0.77 [0.64, 0.87]) with a subset of six miRNAs (miRs-19a-3p, 22-3p, 92b-3p, 101-3p, 143-3p, 423-5p) identified as the most important to these models. The linear discriminant analysis model achieved very good classification of AD vs. PD + DLB (cvAUC = 0.94 [0.87, 0.97]), PD from AD+DLB (cvAUC = 0.88 [0.80, 0.92]), and DLB from AD+PD (cvAUC = 0.85 [0.78, 0.89]) with miR-26a-5p and 146a-5p being most important for AD vs. PD + DLB, and miR-142-3p and 101-3p being most important for DLB vs. AD+PD. Target prediction and Ingenuity Pathway Analysis with miR-26a-5p, 146a-5p, 142-3p, 101-3p returned highly relevant mRNA targets associated with tauopathy, dementia, and movement disorders.

These data demonstrate that predictive modeling using plasma miRNA expression data may improve the differential diagnosis of AD from PD from DLB.",Frontiers in aging neuroscience,2026,Sandau US; Wiedrick JT; McFarland TJ; Yearout D; Zabetian CP; Hu SC; Tsuang DW; Quinn JF; Saugstad JA,,Alzheimer’s disease; Lewy body dementia; Parkinson’s disease; human; microRNA; plasma; predictive modeling; sex differences
42557483,10.1007/s12035-026-06085-3,Cross-link Between CircRNAs and Neuroinflammation in Parkinson's Disease.,"Parkinson's disease (PD) is a major neurodegenerative disorder affecting a large number of people worldwide. PD has been characterized by motor abnormalities, as well as non-motor abnormalities that lower patients' quality of life. The pathological features of PD include the substantia nigra's dopaminergic neurons degradation, leading to a progressive clinical course, Lewy bodies and Lewy neurites, which are primarily composed of α-synuclein, and chronic neuroinflammatory changes that contribute to disease progression. Circular RNAs (circRNAs) are a type of circular single-stranded RNAs possessing high stability. Their expression varies depending on tissue type, cell type, and developmental stage, suggesting their roles in regulating biological processes. Recent research has indicated that circRNAs participate in PD pathophysiology by modulating neuroinflammation, immune response, mitochondrial dysfunction, and reactive oxygen species accumulation. Mechanistically, many circRNAs appear to act as molecular sponges for microRNAs, thereby influencing the expression of key genes involved in inflammatory signaling, synaptic regulation, and neuronal survival. This review summarizes the impact of circRNAs on neuroinflammation, astrocyte/microglia dysfunction, mitochondrial damage, and oxidative stress in PD. It also summarizes experimental evidence from cellular and animal models showing that multiple circRNAs can modulate inflammatory pathways in PD and related neurological disorders. However, only a limited number of studies have evaluated circRNAs as biomarkers or therapeutic targets in patient samples, and comprehensive in vivo validation of circRNA-miRNA-target network remains insufficient. A better understanding of these regulatory pathways may help identify clinically relevant biomarkers and support the development of circRNA-based therapeutic strategies for PD.",Molecular neurobiology,2026,El-Ashmawy NE; Khedr EG; Darwish RT; Ibrahim AO,"Humans; Parkinson Disease; Animals; RNA, Circular; Neuroinflammatory Diseases; Inflammation; MicroRNAs",Astrocytes/microglia activation; CircRNA; MiRNA; Neuroinflammation; Non-coding RNA; Parkinson’s disease
42571753,10.1016/j.talanta.2026.130405,AuNP decorated-Ni-MOF nanosheet based cDNA sensor for detection of miRNA-128 in Alzheimer's disease.,"A cDNA sensor based on gold nanoparticles (Au) supported on nickel metal-organic framework nanosheets (MOF-NS) modified fluorine-tin oxide (FTO) glass electrode for the ultrasensitive and selective detection of miRNA-128 biomarker associated with the progression of Alzheimer's disease (AD) has been reported. The MOF-NS and Au nanoparticles were electrodeposited onto FTO electrode using chronoamperometry to immobilize 5'-biotinylated DNA (btn-cDNA) complementary to miRNA-128 by streptavidin-biotin interaction, generating the modified electrode (btn-cDNA/SV/Au/MOF-NS/FTO). The fabricated electrode was characterized using various surface characterization techniques, including FESEM, XPS, FTIR, and electrochemical methods. The fabricated electrode was then utilized for the selective detection of miRNA-128 using electrochemical impedance spectroscopy. The results indicated a linear response range of 1.0 × 10fM-1.0 × 10 nM with limit of detection of 0.017 fM, and sensitivity of 180.11 Ω fMcm. Moreover, the cDNA sensor showed satisfactory performance with real serum samples from AD patients and healthy individuals, as validated by real time-PCR technique with area under curve of 0.93 and a sensitivity of 90%, respectively, demonstrating the potential of present cDNA sensing approach in the biomedical field.",Talanta,2026,Rani S; Mahesh KV; Sandhir R; Prabhakar N,,Alzheimer's disease; Gold nanoparticles; Metal-organic framework; Nanosheet; cDNA sensor; miRNA-128
42554796,10.1007/s12031-026-02579-w,miRNA-mRNA Interaction Network Analysis in Alzheimer's Disease for Biomarker Discovery.,"Alzheimer's disease (AD) is a complex neurodegenerative disorder characterized by widespread dysregulation of gene expression and regulatory pathways. MicroRNAs (miRNAs) act as key post-transcriptional regulators by modulating messenger RNAs (mRNAs), and their disruption can influence synaptic function, neuroinflammation, and neuronal survival. In this study, we present a transcriptomic-driven framework in which differentially expressed genes (DEGs) are identified from gene expression data and integrated with curated miRNA-target interaction databases to infer putative AD-associated miRNA-mRNA regulatory signatures and potential candidate biomarkers. Transcriptomic and clinical data were obtained from the Alzheimer's Disease Neuroimaging Initiative (ADNI), and the GEO dataset GSE48552 was used as supplementary support to assess the consistency of observed transcriptomic patterns. Using an exploratory differential expression threshold with Welch's t-test and FDR correction, 123 candidate dysregulated genes (34 up-regulated, 89 down-regulated) were identified between AD and cognitively normal controls. To further assess robustness, threshold-sensitivity and cross-method concordance analyses were conducted, supporting the presence of a reproducible core transcriptional signal within the broader discovery-level DEG set. Experimentally validated and predicted miRNA-target interactions were integrated using miRTarBase, yielding 1,669,089 miRNA-gene interactions involving 3,055 unique miRNAs, with strong enrichment toward down-regulated gene targeting. Functional enrichment analysis revealed convergence of miRNA-regulated genes on synaptic signaling, neuronal communication, intracellular transport, apoptosis, oxidative stress, and PI3K-Akt/MAPK-related pathways. A bipartite putative miRNA-mRNA regulatory network (2,207 nodes connected by 11,437 edges, including 2,104 miRNAs and 103 significant genes) was constructed and analyzed using centrality metrics, prioritizing candidate hub genes, including PBX1 and KREMEN1, which were subsequently interpreted in the context of neuronal transcriptional regulation, Wnt-related signalling, synaptic vulnerability, and AD-associated pathway enrichment. Finally, supervised machine learning models trained on selected molecular features showed discriminative performance in the held-out test set, with Random Forest, Gradient Boosting, and LightGBM achieving the highest ROC-AUC values, indicating strong capability in distinguishing AD from control samples. Overall, the framework provides a biologically interpretable strategy for biomarker discovery, prioritizing AD-associated candidate biomarkers and putative regulatory interactions while highlighting targets for future experimental and clinical validation.",Journal of molecular neuroscience : MN,2026,Ray A; Agarwal K; Jha S; Singh AM; Majumder S; Lodh E; Chowdhury T; ,"Alzheimer Disease; MicroRNAs; Humans; RNA, Messenger; Gene Regulatory Networks; Biomarkers; Transcriptome",Alzheimer’s disease; Differential gene expression; Network analysis; Neurodegeneration; Transcriptomic analysis; miRNA–mRNA regulatory network; microRNA
42543712,10.1177/10430342261473427,Adeno-Associated Virus-Mediated Central Nervous System Gene Transfer to Suppress Alzheimer's Disease High-Risk APOE4 Variant and Replace with Protective APOE2.,"Common genetic variants of APOE are major risk factors for sporadic late-onset Alzheimer's disease (AD). APOE has three common variants: APOE3, APOE4, and APOE2. Epidemiological, clinical, and experimental evidence demonstrate that APOE3 is associated with an average risk for AD, APOE4 is pathogenic and conveys a high risk, and APOE2 is protective and reduces risk. In prior mouse studies, we have demonstrated that (1) adeno-associated virus (AAV)-mediated central nervous system (CNS) gene transfer of APOE2 is highly protective against the toxic effects of APOE4 and (2) AAV-mediated CNS transfer of anti-APOE4 microRNA (miRNA) significantly suppresses the expression of APOE4. The ideal therapy for APOE4 homozygotes would both reduce CNS levels of APOE4 and substitute APOE4 with the addition of APOE2. We have developed a ""silence-and-replace"" therapy, where suppression of CNS APOE4 is achieved through AAV-mediated expression of miRNAs designed to silence the endogenous human APOE4 messenger RNA (mRNA), together with simultaneous replacement by an APOE2 coding sequence [APOE2(R)] resistant to those miRNAs. AAV vectors expressing APOE2(R) with and without the miRNAs were administered to the hippocampus of human APOE4 mice, and APOE levels at the mRNA and protein levels were the same for both vectors. Dideoxy Sanger sequencing and allele-specific real-time quantitative PCR were used to assess the CNS APOE2 to APOE4 ratio. As expected, both vectors with APOE2(R) increased the E2/E4 ratio relative to controls by 3.5 ± 0.6-fold for APOE2(R) and 6.3 ± 0.4-fold for APOE2(R) + miRNAs. We conclude that a single AAV vector can deliver a cassette with dual functionality: suppression of the toxic APOE4 variant and simultaneous delivery of the protective APOE2. This dual approach may provide a more potent gene therapy for APOE4-dependent AD than either strategy.",Human gene therapy,2026,Karan KR; Hackett NR; Crystal RG,,APOE gene; APOE4 allele; Alzheimer’s disease; silence and replace gene therapy
42569825,10.1002/alz.71684,"miR155, triplicated in Down syndrome, regulates the development of neural stem cells and GABAergic interneurons in Alzheimer's disease mouse and human iPSC models.","Dysfunctional microRNAs and GABAergic interneurons are features of Alzheimer's disease (AD). The role of neuronal microRNA155 (miR155), elevated in both AD and Down syndrome (DS), remains unknown.

We utilized in silico analyses of published databases, MIR155-deleted and -overexpressing human induced pluripotent stem cell (hiPSC)-derived cells, cortical organoids, and amyloid beta precursor protein (APP)/PS1-miR155 knockout mouse.

MIR155HG (miR155 host gene) colocalizes with APP in a neuron-specific, topologically associated domain (TAD) in chromosome 21. In human neural stem cells (NSCs), neurons, and cortical organoids, MIR155 deletion enhanced NSC proliferation and GABAergic interneuron generation. MIR155 overexpression inhibited NSC marker expression and GABAergic interneuron generation. In APP/PS1 mice, miR155 deletion induced the expansion of hippocampal NSCs and increased hippocampal GABAergic interneurons.

Our findings, alongside the extensive studies of the role of microglial miR155 in neuroinflammation, reveal previously unrecognized miR155 roles in hippocampal NSC dynamics and GABAergic interneuron development, highlighting miR155 as a therapeutic target.",Alzheimer's & dementia : the journal of the Alzheimer's Association,2026,Zhu X; Haure-Mirande JV; Bicak M; Dong P; Kruglikov I; Li A; Al-Subaie A; Fossati V; Noggle S; Gandy S; Ehrlich ME,"Animals; MicroRNAs; Humans; Down Syndrome; Alzheimer Disease; Induced Pluripotent Stem Cells; Interneurons; Neural Stem Cells; Disease Models, Animal; Mice; GABAergic Neurons; Amyloid beta-Protein Precursor; Mice, Transgenic; Mice, Knockout",Alzheimer's disease; Down syndrome; GABAergic interneurons; microRNA
