pmid,doi,pmcid,year,journal,title,search_arm,article_types,is_review_or_secondary,abstract_reports_auc,abstract_reports_sensitivity,abstract_reports_specificity,carries_quantitative_accuracy,database,pmc_fulltext_available
32767426,10.1002/med.21718,PMC7589267,2020,Medicinal research reviews,Progress in the molecular pathogenesis and nucleic acid therapeutics for Parkinson's disease in the precision medicine era.,PD,"Journal Article; Research Support, Non-U.S. Gov't; Review",yes,no,no,no,no,PubMed,yes
32860338,10.1002/acn3.51146,PMC7480914,2020,Annals of clinical and translational neurology,Validation of differentially expressed brain-enriched microRNAs in the plasma of PD patients.,PD,"Journal Article; Research Support, Non-U.S. Gov't; Validation Study",no,no,no,no,no,PubMed,yes
32871216,10.1016/j.exger.2020.111080,,2020,Experimental gerontology,Clinical significance of miR-433 in the diagnosis of Alzheimer's disease and its effect on Aβ-induced neurotoxicity by regulating JAK2.,AD,Journal Article,no,no,no,no,no,PubMed,no
32955460,10.3233/JAD-200396,PMC9262405,2020,Journal of Alzheimer's disease : JAD,Performance of Validated MicroRNA Biomarkers for Alzheimer's Disease in Mild Cognitive Impairment.,AD,"Journal Article; Research Support, N.I.H., Extramural",no,yes,no,no,yes,PubMed,yes
32962113,10.3390/jcm9093016,PMC7563988,2020,Journal of clinical medicine,Accurate Blood-Based Diagnostic Biosignatures for Alzheimer's Disease via Automated Machine Learning.,AD,Journal Article,no,yes,no,no,yes,PubMed,yes
33042470,,PMC7540111,2020,American journal of translational research,"Long noncoding RNA MALAT1 and its target microRNA-125b are potential biomarkers for Alzheimer's disease management via interactions with FOXQ1, PTGS2 and CDK5.",AD+PD,Journal Article,no,no,no,no,no,PubMed,yes
33045885,10.1080/00207454.2020.1835899,,2020,The International journal of neuroscience,Differential expression and significance of miRNAs in plasma extracellular vesicles of patients with Parkinson's disease.,PD,Journal Article,no,no,no,no,no,PubMed,no
33076555,10.3390/ijms21207644,PMC7588983,2020,International journal of molecular sciences,Uncharacterized RNAs in Plasma of Alzheimer's Patients Are Associated with Cognitive Impairment and Show a Potential Diagnostic Power.,AD,Journal Article,no,no,no,no,no,PubMed,yes
33093831,10.3389/fnagi.2020.580199,PMC7506134,2020,Frontiers in aging neuroscience,Circulating Exosome microRNAs as Diagnostic Biomarkers of Dementia.,AD+PD,Journal Article; Review,yes,no,no,no,no,PubMed,yes
33094634,10.1177/1533317520951686,PMC10624042,2020,American journal of Alzheimer's disease and other dementias,Circulating MicroRNAs as Diagnostic Biomarkers of Clinical Cognitive Impairment: A Meta-Analysis.,AD,"Journal Article; Meta-Analysis; Research Support, Non-U.S. Gov't",yes,no,yes,yes,yes,PubMed,yes
33129241,10.29252/ibj.25.1.62,PMC7748118,2020,Iranian biomedical journal,The Highlighted Roles of Metabolic and Cellular Response to Stress Pathways Engaged in Circulating hsa-miR-494-3p and hsa-miR-661 in Alzheimer's Disease.,AD,Journal Article,no,yes,no,no,yes,PubMed,yes
33220166,10.1002/mgg3.1548,PMC7963426,2020,Molecular genetics & genomic medicine,MiR-485-3p serves as a biomarker and therapeutic target of Alzheimer's disease via regulating neuronal cell viability and neuroinflammation by targeting AKT3.,AD,Journal Article; Retracted Publication,yes,no,no,no,no,PubMed,yes
33279668,10.1016/j.exger.2020.111187,,2020,Experimental gerontology,Neuroprotective effects of miR-331-3p through improved cell viability and inflammatory marker expression: Correlation of serum miR-331-3p levels with diagnosis and severity of Alzheimer's disease.,AD,"Journal Article; Research Support, Non-U.S. Gov't",no,no,no,no,no,PubMed,no
33416118,10.3892/ijmm.2020.4806,PMC7797475,2020,International journal of molecular medicine,MicroRNA‑34a‑5p expression in the plasma and in its extracellular vesicle fractions in subjects with Parkinson's disease: An exploratory study.,PD,Clinical Trial; Journal Article,no,yes,no,no,yes,PubMed,yes
33424579,10.3389/fnagi.2020.601965,PMC7793744,2020,Frontiers in aging neuroscience,Identification of Circular RNA hsa_Circ_0003391 in Peripheral Blood Is Potentially Associated With Alzheimer's Disease.,AD,Journal Article,no,yes,no,no,yes,PubMed,yes
33428703,10.1590/1678-4685-GMB-2020-0064,PMC7802068,2021,Genetics and molecular biology,MicroRNA-149 is downregulated in Alzheimer's disease and inhibits β-amyloid accumulation and ameliorates neuronal viability through targeting BACE1.,AD,Journal Article,no,no,no,no,no,PubMed,yes
33433033,10.1002/mds.28467,PMC8248110,2021,Movement disorders : official journal of the Movement Disorder Society,Differentially Expressed Circular RNAs in Peripheral Blood Mononuclear Cells of Patients with Parkinson's Disease.,PD,"Journal Article; Research Support, Non-U.S. Gov't",no,yes,no,no,yes,PubMed,yes
33531104,10.3967/bes2021.004,,2021,Biomedical and environmental sciences : BES,MicroRNA-135a in ABCA1-labeled Exosome is a Serum Biomarker Candidate for Alzheimer's Disease.,AD,Journal Article,no,no,no,no,no,PubMed,no
33542630,10.2147/NDT.S290925,PMC7853421,2021,Neuropsychiatric disease and treatment,Serum miR-128 Serves as a Potential Diagnostic Biomarker for Alzheimer's Disease.,AD,Journal Article,no,yes,no,no,yes,PubMed,yes
33548978,,,2020,The Egyptian journal of immunology,MiRNA -483-5p as a Potential Noninvasive Biomarker for Early Detection of Alzheimer's Disease.,AD,Journal Article,no,no,yes,yes,yes,PubMed,no
33629272,10.1007/s12035-021-02323-y,,2021,Molecular neurobiology,Profiling of Serum Exosome MiRNA Reveals the Potential of a MiRNA Panel as Diagnostic Biomarker for Alzheimer's Disease.,AD,Journal Article,no,yes,no,no,yes,PubMed,no
33660812,10.26355/eurrev_202102_25102,,2021,European review for medical and pharmacological sciences,MicroRNA-146a regulates the expression of the Aβ1-42 protein in Alzheimer's disease.,AD,Journal Article,no,yes,no,no,yes,PubMed,no
33732139,10.3389/fnagi.2021.637218,PMC7957006,2021,Frontiers in aging neuroscience,The Diagnostic Value of Exosome-Derived Biomarkers in Alzheimer's Disease and Mild Cognitive Impairment: A Meta-Analysis.,AD,Systematic Review; Journal Article,yes,yes,no,no,yes,PubMed,yes
33800495,10.3390/ijms22052737,PMC7962970,2021,International journal of molecular sciences,Different miRNA Profiles in Plasma Derived Small and Large Extracellular Vesicles from Patients with Neurodegenerative Diseases.,AD+PD,Journal Article,no,no,no,no,no,PubMed,yes
33806691,10.3390/biomedicines9030252,PMC7999537,2021,Biomedicines,News about the Role of Fluid and Imaging Biomarkers in Neurodegenerative Diseases.,AD+PD,Journal Article; Review,yes,no,no,no,no,PubMed,yes
33817253,10.1515/biol-2020-0060,PMC7747498,2020,Open life sciences,Aberrant expression of microRNA-132-3p and microRNA-146a-5p in Parkinson's disease patients.,PD,Journal Article,no,no,no,no,no,PubMed,yes
33871591,10.1093/ajcn/nqab078,,2021,The American journal of clinical nutrition,"Diet quality, gut microbiota, and microRNAs associated with mild cognitive impairment in middle-aged and elderly Chinese population.",AD,"Journal Article; Research Support, Non-U.S. Gov't",no,yes,no,no,yes,PubMed,no
34267687,10.3389/fpsyt.2021.679206,PMC8275879,2021,Frontiers in psychiatry,Increased Expression of Plasma miRNA-320a and let-7b-5p in Heroin-Dependent Patients and Its Clinical Significance.,AD,Journal Article,no,yes,yes,no,yes,PubMed,yes
34279788,10.1007/s12017-021-08676-w,,2021,Neuromolecular medicine,Diagnostic Performance of miR-485-3p in Patients with Parkinson's Disease and its Relationship with Neuroinflammation.,AD+PD,Journal Article,no,no,no,no,no,PubMed,no
34315539,10.1186/s40035-021-00249-y,PMC8317324,2021,Translational neurodegeneration,Several miRNAs derived from serum extracellular vesicles are potential biomarkers for early diagnosis and progression of Parkinson's disease.,PD,"Journal Article; Research Support, Non-U.S. Gov't",no,no,no,no,no,PubMed,yes
34315950,10.1038/s41598-021-94734-z,PMC8316346,2021,Scientific reports,Elevated plasma miR-133b and miR-221-3p as biomarkers for early Parkinson's disease.,PD,"Journal Article; Research Support, Non-U.S. Gov't",no,no,yes,no,no,PubMed,yes
34730175,10.1093/database/baab072,PMC8570227,2021,Database : the journal of biological databases and curation,JAMIR-eQTL: Japanese genome-wide identification of microRNA expression quantitative trait loci across dementia types.,AD,"Journal Article; Research Support, Non-U.S. Gov't",no,no,no,no,no,PubMed,yes
34776924,10.3389/fnagi.2021.700959,PMC8581655,2021,Frontiers in aging neuroscience,Serum miR-214 Serves as a Biomarker for Prodromal Parkinson's Disease.,PD,Journal Article,no,yes,yes,yes,yes,PubMed,yes
34812409,10.1155/2021/8171236,PMC8605920,2021,BioMed research international,Screening of Parkinson's Differential MicroRNA Based on GEO Database and Its Clinical Verification.,PD,Journal Article,no,no,no,no,no,PubMed,yes
34839044,10.1016/j.parkreldis.2021.11.020,,2021,Parkinsonism & related disorders,Exosomal miRNA as peripheral biomarkers in Parkinson's disease and progressive supranuclear palsy: A pilot study.,PD,Journal Article,no,yes,yes,yes,yes,PubMed,no
34870106,10.3233/ADR-210311,PMC8609483,2021,Journal of Alzheimer's disease reports,Altered Cerebrospinal Fluid Exosomal microRNA Levels in Young-Onset Alzheimer's Disease and Frontotemporal Dementia.,AD,Journal Article,no,yes,no,no,yes,PubMed,yes
34890883,10.1016/j.bios.2021.113864,,2021,Biosensors & bioelectronics,Detection of multiplex exosomal miRNAs for clinically accurate diagnosis of Alzheimer's disease using label-free plasmonic biosensor based on DNA-Assembled advanced plasmonic architecture.,AD,Journal Article,no,no,yes,no,no,PubMed,no
34921567,10.1002/jcla.24037,PMC8761463,2021,Journal of clinical laboratory analysis,"Long non-coding RNA ANRIL interacts with microRNA-34a and microRNA-125a, and they all correlate with disease risk and severity of Parkinson's disease.",PD,Journal Article,no,yes,no,no,yes,PubMed,yes
34955516,10.1097/YPG.0000000000000303,,2022,Psychiatric genetics,"Evaluation of hsa-let-7d-5p, hsa-let-7g-5p and hsa-miR-15b-5p plasma levels in patients with Alzheimer's disease.",AD,Journal Article,no,no,yes,no,no,PubMed,no
35006460,10.1186/s43556-021-00040-5,PMC8607397,2021,Molecular biomedicine,Extracellular vesicles (exosomes and ectosomes) play key roles in the pathology of brain diseases.,AD,Journal Article; Review,yes,no,no,no,no,PubMed,yes
